Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-04-19,16251.13,16294,16238.31,16277.72,8366803
2017-04-20,16308.64,16308.64,16245.38,16276.08,10649134
2017-04-21,16302.47,16334.05,16219.35,16250.49,10002901
2017-04-24,16277.49,16338.82,16270.03,16338.82,10752147
2017-04-25,16314.81,16314.81,16191.54,16228.73,27212338
2017-04-26,16226.88,16235.9,16060.97,16147.01,33959965
2017-04-27,16144.05,16227.57,16128.35,16227.57,18332663
2017-04-28,16234.31,16300.66,16206.95,16300.66,10960038
2017-05-02,16338.59,16380.36,16301.03,16380.36,4786879
2017-05-04,16373.42,16393.36,16300.41,16318.94,10740062
2017-05-05,16330.69,16345.94,16236.77,16306.82,5945769
2017-05-08,16343.77,16366.19,16269.05,16298.26,15710731
2017-05-09,16328.47,16328.47,16164.84,16164.84,27320062
2017-05-10,16173.75,16207.69,16131.31,16202.68,15946268
2017-05-11,16206.52,16247.61,16157.38,16193.92,16150872
2017-05-12,16163.88,16163.88,16096.7,16154.92,8057706
2017-05-15,16162.95,16221.91,16110.5,16216.49,6003698
2017-05-16,16203.27,16228.53,16064.06,16113.88,17445859
2017-05-17,16108.73,16108.73,15934.35,15952.05,19809168
2017-05-18,15931.64,15965.78,15781.13,15928.41,15429148
2017-05-19,15932.61,16127.08,15927.56,16127.08,20236901
2017-05-22,16170.46,16183.47,16072.84,16093.89,13221142
2017-05-23,16125.33,16131.99,16033.09,16127.19,10682983
2017-05-24,16127.49,16152.68,16078.9,16152.68,12198617
2017-05-25,16218.44,16278.42,16176.95,16278.42,8807758
2017-05-26,16290.25,16295.13,16195.36,16264.78,5841171
2017-05-29,16249.61,16261.71,16175.17,16220.1,7184240
2017-05-30,16243.4,16258.81,16130.43,16199.98,10076176
2017-05-31,16187.64,16220.64,16128.56,16220.64,12625956
2017-06-01,16252.71,16265.09,16132.21,16204.43,8246308
2017-06-02,16230.14,16242.63,16152.34,16190.98,9768910
2017-06-05,16188.12,16211.67,16088.7,16126.86,5941693
2017-06-06,16141.45,16189.96,16081.17,16186.26,8697323
2017-06-07,16203.34,16236.58,16143.64,16169.24,9673237
2017-06-08,16210.36,16210.36,16130.6,16183.92,9708171
2017-06-09,16213.15,16215.65,16166.18,16212.39,4843542
2017-06-12,16236.54,16241.87,15968.02,15990.64,7856770
